"kind","group","element","scenario","period","resolution","file","path"
"elements","bird","bird-ocwa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-ocwa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-osfl","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-osfl/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-oven","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-oven/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-pawa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-pawa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-pisi","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-pisi/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-piwo","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-piwo/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-pufi","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-pufi/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-rbgr","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rbgr/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-rbnu","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rbnu/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-rcki","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rcki/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-revi","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-revi/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-rugr","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rugr/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-rwbl","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rwbl/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-savs","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-savs/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-sosp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-sosp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-swsp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-swsp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-swth","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-swth/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-tewa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-tewa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-tres","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-tres/landr-scfm-v4/2011/250m/mean.tif"
