"year","resolution","scenario","element_name","path","mean","max","group","species_code","common_name","scientific_name","pal_max"
2100,"250m","landr-scfm-v4","bird-sosp","bird-sosp/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","SOSP","Song Sparrow","Melospiza melodia",NA
2011,"1000m","landrcs-fs-v6a","bird-sosp","bird-sosp/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","SOSP","Song Sparrow","Melospiza melodia",NA
2100,"1000m","landrcs-fs-v6a","bird-sosp","bird-sosp/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","SOSP","Song Sparrow","Melospiza melodia",NA
2011,"250m","landrcs-fs-v6a","bird-sosp","bird-sosp/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","SOSP","Song Sparrow","Melospiza melodia",NA
2100,"250m","landrcs-fs-v6a","bird-sosp","bird-sosp/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","SOSP","Song Sparrow","Melospiza melodia",NA
2011,"1000m","landr-scfm-v4","bird-swsp","bird-swsp/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","SWSP","Swamp Sparrow","Melospiza georgiana",NA
2100,"1000m","landr-scfm-v4","bird-swsp","bird-swsp/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","SWSP","Swamp Sparrow","Melospiza georgiana",NA
2011,"250m","landr-scfm-v4","bird-swsp","bird-swsp/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","SWSP","Swamp Sparrow","Melospiza georgiana",NA
2100,"250m","landr-scfm-v4","bird-swsp","bird-swsp/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","SWSP","Swamp Sparrow","Melospiza georgiana",NA
2011,"1000m","landrcs-fs-v6a","bird-swsp","bird-swsp/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","SWSP","Swamp Sparrow","Melospiza georgiana",NA
2100,"1000m","landrcs-fs-v6a","bird-swsp","bird-swsp/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","SWSP","Swamp Sparrow","Melospiza georgiana",NA
