group,species_code,common_name,scientific_name,french,full_extent,year_start,year_end,year_interval
bird,bird-rugr,Ruffed Grouse,Bonasa umbellus,G&eacute;linotte hupp&eacute;e,TRUE,2011,2091,20
bird,bird-rwbl,Red-winged Blackbird,Agelaius phoeniceus,Carouge &agrave; &eacute;paulettes,TRUE,2011,2091,20
bird,bird-savs,Savannah Sparrow,Passerculus sandwichensis,Bruant des pr&eacute;s,TRUE,2011,2091,20
bird,bird-sewr,Sedge Wren,Cistothorus platensis,Troglodyte &agrave; bec court,TRUE,2011,2091,20
bird,bird-sosa,Solitary Sandpiper,Tringa solitaria,Chevalier solitaire,TRUE,2011,2091,20
bird,bird-sosp,Song Sparrow,Melospiza melodia,Bruant chanteur,TRUE,2011,2091,20
bird,bird-spsa,Spotted Sandpiper,Actitis macularius,Chevalier grivel&eacute;,TRUE,2011,2091,20
bird,bird-swsp,Swamp Sparrow,Melospiza georgiana,Bruant des marais,TRUE,2011,2091,20
bird,bird-swth,Swainson's Thrush,Catharus ustulatus,Grive &agrave; dos olive,TRUE,2011,2091,20
bird,bird-tewa,Tennessee Warbler,Oreothlypis peregrina,Paruline obscure,TRUE,2011,2091,20
bird,bird-toso,Townsend's Solitaire,Myadestes townsendi,Solitaire de Townsend,TRUE,2011,2091,20
bird,bird-towa,Townsend's Warbler,Setophaga townsendi,Paruline de Townsend,TRUE,2011,2091,20
bird,bird-tres,Tree Swallow,Tachycineta bicolor,Hirondelle bicolore,TRUE,2011,2091,20
bird,bird-vath,Varied Thrush,Ixoreus naevius,Grive &agrave; collier,TRUE,2011,2091,20
bird,bird-veer,Veery,Catharus fuscescens,Grive fauve,TRUE,2011,2091,20
bird,bird-vesp,Vesper Sparrow,Pooecetes gramineus,Bruant vesp&eacute;ral,TRUE,2011,2091,20
bird,bird-wavi,Warbling Vireo,Vireo gilvus,Vir&eacute;o m&eacute;lodieux,TRUE,2011,2091,20
bird,bird-wbnu,White-breasted Nuthatch,Sitta carolinensis,Sittelle &agrave; poitrine blanche,TRUE,2011,2091,20
bird,bird-wcsp,White-crowned Sparrow,Zonotrichia leucophrys,Bruant &agrave; couronne blanche,TRUE,2011,2091,20
bird,bird-weta,Western Tanager,Piranga ludoviciana,Piranga &agrave; t&ecirc;te rouge,TRUE,2011,2091,20
bird,bird-wewp,Western Wood-Pewee,Contopus sordidulus,Pioui de l'Ouest,TRUE,2011,2091,20
bird,bird-wipt,Willow Ptarmigan,Lagopus lagopus,Lagop&egrave;de des saules,TRUE,2011,2091,20
bird,bird-wisn,Wilson's Snipe,Gallinago delicata,B&eacute;cassine de Wilson,TRUE,2011,2091,20
bird,bird-wiwa,Wilson's Warbler,Cardellina pusilla,Paruline &agrave; calotte noire,TRUE,2011,2091,20
bird,bird-wiwr,Winter Wren,Troglodytes hiemalis,Troglodyte des for&ecirc;ts,TRUE,2011,2091,20
bird,bird-wtsp,White-throated Sparrow,Zonotrichia albicollis,Bruant &agrave; gorge blanche,TRUE,2011,2091,20
bird,bird-wwcr,White-winged Crossbill,Loxia leucoptera,Bec-crois&eacute; bifasci&eacute;,TRUE,2011,2091,20
bird,bird-ybfl,Yellow-bellied Flycatcher,Empidonax flaviventris,Moucherolle &agrave; ventre jaune,TRUE,2011,2091,20
