group,species_code,common_name,scientific_name,french,full_extent,year_start,year_end,year_interval
bird,bird-kill,Killdeer,Charadrius vociferus,Pluvier kildir,TRUE,2011,2091,20
bird,bird-lalo,Lapland Longspur,Calcarius lapponicus,Plectrophane lapon,TRUE,2011,2091,20
bird,bird-lcsp,Le Conte's Sparrow,Ammodramus leconteii,Bruant de Le Conte,TRUE,2011,2091,20
bird,bird-lefl,Least Flycatcher,Empidonax minimus,Moucherolle tch&eacute;bec,TRUE,2011,2091,20
bird,bird-leye,Lesser Yellowlegs,Tringa flavipes,Petit Chevalier,TRUE,2011,2091,20
bird,bird-lisp,Lincoln's Sparrow,Melospiza lincolnii,Bruant de Lincoln,TRUE,2011,2091,20
bird,bird-mawa,Magnolia Warbler,Setophaga magnolia,Paruline &agrave; t&ecirc;te cendr&eacute;e,TRUE,2011,2091,20
bird,bird-modo,Mourning Dove,Zenaida macroura,Tourterelle triste,TRUE,2011,2091,20
bird,bird-mowa,Mourning Warbler,Geothlypis philadelphia,Paruline triste,TRUE,2011,2091,20
bird,bird-nawa,Nashville Warbler,Oreothlypis ruficapilla,Paruline &agrave; joues grises,TRUE,2011,2091,20
bird,bird-nofl,Northern Flicker,Colaptes auratus,Pic flamboyant,TRUE,2011,2091,20
bird,bird-nowa,Northern Waterthrush,Parkesia noveboracensis,Paruline des ruisseaux,TRUE,2011,2091,20
bird,bird-ocwa,Orange-crowned Warbler,Oreothlypis celata,Paruline verd&acirc;tre,TRUE,2011,2091,20
bird,bird-osfl,Olive-sided Flycatcher,Contopus cooperi,Moucherolle &agrave; c&ocirc;t&eacute;s olive,TRUE,2011,2091,20
bird,bird-oven,Ovenbird,Seiurus aurocapilla,Paruline couronn&eacute;e,TRUE,2011,2091,20
bird,bird-pawa,Palm Warbler,Setophaga palmarum,Paruline &agrave; couronne rousse,TRUE,2011,2091,20
bird,bird-phvi,Philadelphia Vireo,Vireo philadelphicus,Vir&eacute;o de Philadelphie,TRUE,2011,2091,20
bird,bird-pigr,Pine Grosbeak,Pinicola enucleator,Durbec des sapins,TRUE,2011,2091,20
bird,bird-pisi,Pine Siskin,Spinus pinus,Tarin des pins,TRUE,2011,2091,20
bird,bird-piwo,Pileated Woodpecker,Dryocopus pileatus,Grand Pic,TRUE,2011,2091,20
bird,bird-pufi,Purple Finch,Carpodacus purpureus,Roselin pourpr&eacute;,TRUE,2011,2091,20
bird,bird-rbgr,Rose-breasted Grosbeak,Pheucticus ludovicianus,Cardinal &agrave; poitrine rose,TRUE,2011,2091,20
bird,bird-rbnu,Red-breasted Nuthatch,Sitta canadensis,Sittelle &agrave; poitrine rousse,TRUE,2011,2091,20
bird,bird-rcki,Ruby-crowned Kinglet,Regulus calendula,Roitelet &agrave; couronne rubis,TRUE,2011,2091,20
bird,bird-recr,Red Crossbill,Loxia curvirostra,Bec-crois&eacute; des sapins,TRUE,2011,2091,20
bird,bird-revi,Red-eyed Vireo,Vireo olivaceus,Vir&eacute;o aux yeux rouges,TRUE,2011,2091,20
bird,bird-rubl,Rusty Blackbird,Euphagus carolinus,Quiscale rouilleux,TRUE,2011,2091,20
